"","X1","ID","R","N","sd1","sd2","signal"
"96",96,96,-0.72386212257108,100,5,1,1
"97",97,97,-0.72386212257108,100,5,2,1
"98",98,98,-0.72386212257108,100,5,3,1
"99",99,99,-0.72386212257108,100,5,4,1
"100",100,100,-0.72386212257108,100,5,5,1
"101",101,101,-0.873639766655077,100,1,1,1
"102",102,102,-0.873639766655077,100,1,2,1
"103",103,103,-0.873639766655077,100,1,3,1
"104",104,104,-0.873639766655077,100,1,4,1
"105",105,105,-0.873639766655077,100,1,5,1
"106",106,106,-0.873639766655077,100,2,1,1
"107",107,107,-0.873639766655077,100,2,2,1
"108",108,108,-0.873639766655077,100,2,3,1
"109",109,109,-0.873639766655077,100,2,4,1
"110",110,110,-0.873639766655077,100,2,5,1
"111",111,111,-0.873639766655077,100,3,1,1
"112",112,112,-0.873639766655077,100,3,2,1
"113",113,113,-0.873639766655077,100,3,3,1
"114",114,114,-0.873639766655077,100,3,4,1
"115",115,115,-0.873639766655077,100,3,5,1
"116",116,116,-0.873639766655077,100,4,1,1
"117",117,117,-0.873639766655077,100,4,2,1
"118",118,118,-0.873639766655077,100,4,3,1
"119",119,119,-0.873639766655077,100,4,4,1
"120",120,120,-0.873639766655077,100,4,5,1
"121",121,121,-0.873639766655077,100,5,1,1
"122",122,122,-0.873639766655077,100,5,2,1
"123",123,123,-0.873639766655077,100,5,3,1
"124",124,124,-0.873639766655077,100,5,4,1
"125",125,125,-0.873639766655077,100,5,5,1
"126",126,126,0.86307439485013,100,1,1,1
"127",127,127,0.86307439485013,100,1,2,1
"128",128,128,0.86307439485013,100,1,3,1
"129",129,129,0.86307439485013,100,1,4,1
"130",130,130,0.86307439485013,100,1,5,1
"131",131,131,0.86307439485013,100,2,1,1
"132",132,132,0.86307439485013,100,2,2,1
"133",133,133,0.86307439485013,100,2,3,1
"134",134,134,0.86307439485013,100,2,4,1
"135",135,135,0.86307439485013,100,2,5,1
"136",136,136,0.86307439485013,100,3,1,1
"137",137,137,0.86307439485013,100,3,2,1
"138",138,138,0.86307439485013,100,3,3,1
"139",139,139,0.86307439485013,100,3,4,1
"140",140,140,0.86307439485013,100,3,5,1
"141",141,141,0.86307439485013,100,4,1,1
"142",142,142,0.86307439485013,100,4,2,1
"143",143,143,0.86307439485013,100,4,3,1
"144",144,144,0.86307439485013,100,4,4,1
"145",145,145,0.86307439485013,100,4,5,1
"146",146,146,0.86307439485013,100,5,1,1
"147",147,147,0.86307439485013,100,5,2,1
"148",148,148,0.86307439485013,100,5,3,1
"149",149,149,0.86307439485013,100,5,4,1
"150",150,150,0.86307439485013,100,5,5,1
"151",151,151,0.545950458489662,100,1,1,1
"152",152,152,0.545950458489662,100,1,2,1
"153",153,153,0.545950458489662,100,1,3,1
"154",154,154,0.545950458489662,100,1,4,1
"155",155,155,0.545950458489662,100,1,5,1
"156",156,156,0.545950458489662,100,2,1,1
"157",157,157,0.545950458489662,100,2,2,1
"158",158,158,0.545950458489662,100,2,3,1
"159",159,159,0.545950458489662,100,2,4,1
"160",160,160,0.545950458489662,100,2,5,1
"161",161,161,0.545950458489662,100,3,1,1
"162",162,162,0.545950458489662,100,3,2,1
"163",163,163,0.545950458489662,100,3,3,1
"164",164,164,0.545950458489662,100,3,4,1
"165",165,165,0.545950458489662,100,3,5,1
"166",166,166,0.545950458489662,100,4,1,1
"167",167,167,0.545950458489662,100,4,2,1
"168",168,168,0.545950458489662,100,4,3,1
"169",169,169,0.545950458489662,100,4,4,1
"170",170,170,0.545950458489662,100,4,5,1
"171",171,171,0.545950458489662,100,5,1,1
"172",172,172,0.545950458489662,100,5,2,1
"173",173,173,0.545950458489662,100,5,3,1
"174",174,174,0.545950458489662,100,5,4,1
"175",175,175,0.545950458489662,100,5,5,1
"176",176,176,0.810021676696378,100,1,1,1
"177",177,177,0.810021676696378,100,1,2,1
"178",178,178,0.810021676696378,100,1,3,1
"179",179,179,0.810021676696378,100,1,4,1
"180",180,180,0.810021676696378,100,1,5,1
"181",181,181,0.810021676696378,100,2,1,1
"182",182,182,0.810021676696378,100,2,2,1
"183",183,183,0.810021676696378,100,2,3,1
"184",184,184,0.810021676696378,100,2,4,1
"185",185,185,0.810021676696378,100,2,5,1
"186",186,186,0.810021676696378,100,3,1,1
"187",187,187,0.810021676696378,100,3,2,1
"188",188,188,0.810021676696378,100,3,3,1
"189",189,189,0.810021676696378,100,3,4,1
"190",190,190,0.810021676696378,100,3,5,1
"191",191,191,0.810021676696378,100,4,1,1
"192",192,192,0.810021676696378,100,4,2,1
"193",193,193,0.810021676696378,100,4,3,1
"194",194,194,0.810021676696378,100,4,4,1
"195",195,195,0.810021676696378,100,4,5,1
"196",196,196,0.810021676696378,100,5,1,1
"197",197,197,0.810021676696378,100,5,2,1
"198",198,198,0.810021676696378,100,5,3,1
"199",199,199,0.810021676696378,100,5,4,1
"200",200,200,0.810021676696378,100,5,5,1
"201",201,201,0.676779398303585,100,1,1,1
"202",202,202,0.676779398303585,100,1,2,1
"203",203,203,0.676779398303585,100,1,3,1
"204",204,204,0.676779398303585,100,1,4,1
"205",205,205,0.676779398303585,100,1,5,1
"206",206,206,0.676779398303585,100,2,1,1
"207",207,207,0.676779398303585,100,2,2,1
"208",208,208,0.676779398303585,100,2,3,1
"209",209,209,0.676779398303585,100,2,4,1
"210",210,210,0.676779398303585,100,2,5,1
"211",211,211,0.676779398303585,100,3,1,1
"212",212,212,0.676779398303585,100,3,2,1
"213",213,213,0.676779398303585,100,3,3,1
"214",214,214,0.676779398303585,100,3,4,1
"215",215,215,0.676779398303585,100,3,5,1
"216",216,216,0.676779398303585,100,4,1,1
"217",217,217,0.676779398303585,100,4,2,1
"218",218,218,0.676779398303585,100,4,3,1
"219",219,219,0.676779398303585,100,4,4,1
"220",220,220,0.676779398303585,100,4,5,1
"221",221,221,0.676779398303585,100,5,1,1
"222",222,222,0.676779398303585,100,5,2,1
"223",223,223,0.676779398303585,100,5,3,1
"224",224,224,0.676779398303585,100,5,4,1
"225",225,225,0.676779398303585,100,5,5,1
"226",226,226,0.263848398800579,100,1,1,1
"227",227,227,0.263848398800579,100,1,2,1
"228",228,228,0.263848398800579,100,1,3,1
"229",229,229,0.263848398800579,100,1,4,1
"230",230,230,0.263848398800579,100,1,5,1
"231",231,231,0.263848398800579,100,2,1,1
"232",232,232,0.263848398800579,100,2,2,1
"233",233,233,0.263848398800579,100,2,3,1
"234",234,234,0.263848398800579,100,2,4,1
"235",235,235,0.263848398800579,100,2,5,1
"236",236,236,0.263848398800579,100,3,1,1
"237",237,237,0.263848398800579,100,3,2,1
"238",238,238,0.263848398800579,100,3,3,1
"239",239,239,0.263848398800579,100,3,4,1
"240",240,240,0.263848398800579,100,3,5,1
"241",241,241,0.263848398800579,100,4,1,1
"242",242,242,0.263848398800579,100,4,2,1
"243",243,243,0.263848398800579,100,4,3,1
"244",244,244,0.263848398800579,100,4,4,1
"245",245,245,0.263848398800579,100,4,5,1
"246",246,246,0.263848398800579,100,5,1,1
"247",247,247,0.263848398800579,100,5,2,1
"248",248,248,0.263848398800579,100,5,3,1
"249",249,249,0.263848398800579,100,5,4,1
"250",250,250,0.263848398800579,100,5,5,1
"251",251,251,-0.501465091941755,200,1,1,1
"252",252,252,-0.501465091941755,200,1,2,1
"253",253,253,-0.501465091941755,200,1,3,1
"254",254,254,-0.501465091941755,200,1,4,1
"255",255,255,-0.501465091941755,200,1,5,1
"256",256,256,-0.501465091941755,200,2,1,1
"257",257,257,-0.501465091941755,200,2,2,1
"258",258,258,-0.501465091941755,200,2,3,1
"259",259,259,-0.501465091941755,200,2,4,1
"260",260,260,-0.501465091941755,200,2,5,1
"261",261,261,-0.501465091941755,200,3,1,1
"262",262,262,-0.501465091941755,200,3,2,1
"263",263,263,-0.501465091941755,200,3,3,1
"264",264,264,-0.501465091941755,200,3,4,1
"265",265,265,-0.501465091941755,200,3,5,1
"266",266,266,-0.501465091941755,200,4,1,1
"267",267,267,-0.501465091941755,200,4,2,1
"268",268,268,-0.501465091941755,200,4,3,1
"269",269,269,-0.501465091941755,200,4,4,1
"270",270,270,-0.501465091941755,200,4,5,1
"271",271,271,-0.501465091941755,200,5,1,1
"272",272,272,-0.501465091941755,200,5,2,1
"273",273,273,-0.501465091941755,200,5,3,1
"274",274,274,-0.501465091941755,200,5,4,1
"275",275,275,-0.501465091941755,200,5,5,1
"276",276,276,-0.337957500949731,200,1,1,1
"277",277,277,-0.337957500949731,200,1,2,1
"278",278,278,-0.337957500949731,200,1,3,1
"279",279,279,-0.337957500949731,200,1,4,1
"280",280,280,-0.337957500949731,200,1,5,1
"281",281,281,-0.337957500949731,200,2,1,1
"282",282,282,-0.337957500949731,200,2,2,1
"283",283,283,-0.337957500949731,200,2,3,1
"284",284,284,-0.337957500949731,200,2,4,1
"285",285,285,-0.337957500949731,200,2,5,1
"286",286,286,-0.337957500949731,200,3,1,1
"287",287,287,-0.337957500949731,200,3,2,1
"288",288,288,-0.337957500949731,200,3,3,1
"289",289,289,-0.337957500949731,200,3,4,1
"290",290,290,-0.337957500949731,200,3,5,1
"291",291,291,-0.337957500949731,200,4,1,1
"292",292,292,-0.337957500949731,200,4,2,1
"293",293,293,-0.337957500949731,200,4,3,1
"294",294,294,-0.337957500949731,200,4,4,1
"295",295,295,-0.337957500949731,200,4,5,1
"296",296,296,-0.337957500949731,200,5,1,1
"297",297,297,-0.337957500949731,200,5,2,1
"298",298,298,-0.337957500949731,200,5,3,1
"299",299,299,-0.337957500949731,200,5,4,1
"300",300,300,-0.337957500949731,200,5,5,1
"301",301,301,-0.53035394522615,200,1,1,1
"302",302,302,-0.53035394522615,200,1,2,1
"303",303,303,-0.53035394522615,200,1,3,1
"304",304,304,-0.53035394522615,200,1,4,1
"305",305,305,-0.53035394522615,200,1,5,1
"306",306,306,-0.53035394522615,200,2,1,1
"307",307,307,-0.53035394522615,200,2,2,1
"308",308,308,-0.53035394522615,200,2,3,1
"309",309,309,-0.53035394522615,200,2,4,1
"310",310,310,-0.53035394522615,200,2,5,1
"311",311,311,-0.53035394522615,200,3,1,1
"312",312,312,-0.53035394522615,200,3,2,1
"313",313,313,-0.53035394522615,200,3,3,1
"314",314,314,-0.53035394522615,200,3,4,1
"315",315,315,-0.53035394522615,200,3,5,1
"316",316,316,-0.53035394522615,200,4,1,1
"317",317,317,-0.53035394522615,200,4,2,1
"318",318,318,-0.53035394522615,200,4,3,1
"319",319,319,-0.53035394522615,200,4,4,1
"320",320,320,-0.53035394522615,200,4,5,1
"321",321,321,-0.53035394522615,200,5,1,1
"322",322,322,-0.53035394522615,200,5,2,1
"323",323,323,-0.53035394522615,200,5,3,1
"324",324,324,-0.53035394522615,200,5,4,1
"325",325,325,-0.53035394522615,200,5,5,1
"326",326,326,-0.463635396881924,200,1,1,1
"327",327,327,-0.463635396881924,200,1,2,1
"328",328,328,-0.463635396881924,200,1,3,1
"329",329,329,-0.463635396881924,200,1,4,1
"330",330,330,-0.463635396881924,200,1,5,1
"331",331,331,-0.463635396881924,200,2,1,1
"332",332,332,-0.463635396881924,200,2,2,1
"333",333,333,-0.463635396881924,200,2,3,1
"334",334,334,-0.463635396881924,200,2,4,1
"335",335,335,-0.463635396881924,200,2,5,1
"336",336,336,-0.463635396881924,200,3,1,1
"337",337,337,-0.463635396881924,200,3,2,1
"338",338,338,-0.463635396881924,200,3,3,1
"339",339,339,-0.463635396881924,200,3,4,1
"340",340,340,-0.463635396881924,200,3,5,1
"341",341,341,-0.463635396881924,200,4,1,1
"342",342,342,-0.463635396881924,200,4,2,1
"343",343,343,-0.463635396881924,200,4,3,1
"344",344,344,-0.463635396881924,200,4,4,1
"345",345,345,-0.463635396881924,200,4,5,1
"346",346,346,-0.463635396881924,200,5,1,1
"347",347,347,-0.463635396881924,200,5,2,1
"348",348,348,-0.463635396881924,200,5,3,1
"349",349,349,-0.463635396881924,200,5,4,1
"350",350,350,-0.463635396881924,200,5,5,1
"351",351,351,-0.295778695386025,200,1,1,1
"352",352,352,-0.295778695386025,200,1,2,1
"353",353,353,-0.295778695386025,200,1,3,1
"354",354,354,-0.295778695386025,200,1,4,1
"355",355,355,-0.295778695386025,200,1,5,1
"356",356,356,-0.295778695386025,200,2,1,1
"357",357,357,-0.295778695386025,200,2,2,1
"358",358,358,-0.295778695386025,200,2,3,1
"359",359,359,-0.295778695386025,200,2,4,1
"360",360,360,-0.295778695386025,200,2,5,1
"361",361,361,-0.295778695386025,200,3,1,1
"362",362,362,-0.295778695386025,200,3,2,1
"363",363,363,-0.295778695386025,200,3,3,1
"364",364,364,-0.295778695386025,200,3,4,1
"365",365,365,-0.295778695386025,200,3,5,1
"366",366,366,-0.295778695386025,200,4,1,1
"367",367,367,-0.295778695386025,200,4,2,1
"368",368,368,-0.295778695386025,200,4,3,1
"369",369,369,-0.295778695386025,200,4,4,1
"370",370,370,-0.295778695386025,200,4,5,1
"371",371,371,-0.295778695386025,200,5,1,1
"372",372,372,-0.295778695386025,200,5,2,1
"373",373,373,-0.295778695386025,200,5,3,1
"374",374,374,-0.295778695386025,200,5,4,1
"375",375,375,-0.295778695386025,200,5,5,1
"376",376,376,0.390748429169459,200,1,1,1
"377",377,377,0.390748429169459,200,1,2,1
"378",378,378,0.390748429169459,200,1,3,1
"379",379,379,0.390748429169459,200,1,4,1
"380",380,380,0.390748429169459,200,1,5,1
"381",381,381,0.390748429169459,200,2,1,1
"382",382,382,0.390748429169459,200,2,2,1
"383",383,383,0.390748429169459,200,2,3,1
"384",384,384,0.390748429169459,200,2,4,1
"385",385,385,0.390748429169459,200,2,5,1
"386",386,386,0.390748429169459,200,3,1,1
"387",387,387,0.390748429169459,200,3,2,1
"388",388,388,0.390748429169459,200,3,3,1
"389",389,389,0.390748429169459,200,3,4,1
"390",390,390,0.390748429169459,200,3,5,1
"391",391,391,0.390748429169459,200,4,1,1
"392",392,392,0.390748429169459,200,4,2,1
"393",393,393,0.390748429169459,200,4,3,1
"394",394,394,0.390748429169459,200,4,4,1
"395",395,395,0.390748429169459,200,4,5,1
"396",396,396,0.390748429169459,200,5,1,1
"397",397,397,0.390748429169459,200,5,2,1
"398",398,398,0.390748429169459,200,5,3,1
"399",399,399,0.390748429169459,200,5,4,1
"400",400,400,0.390748429169459,200,5,5,1
"401",401,401,0.80392110973361,200,1,1,1
"402",402,402,0.80392110973361,200,1,2,1
"403",403,403,0.80392110973361,200,1,3,1
"404",404,404,0.80392110973361,200,1,4,1
"405",405,405,0.80392110973361,200,1,5,1
"406",406,406,0.80392110973361,200,2,1,1
"407",407,407,0.80392110973361,200,2,2,1
"408",408,408,0.80392110973361,200,2,3,1
"409",409,409,0.80392110973361,200,2,4,1
"410",410,410,0.80392110973361,200,2,5,1
"411",411,411,0.80392110973361,200,3,1,1
"412",412,412,0.80392110973361,200,3,2,1
"413",413,413,0.80392110973361,200,3,3,1
"414",414,414,0.80392110973361,200,3,4,1
"415",415,415,0.80392110973361,200,3,5,1
"416",416,416,0.80392110973361,200,4,1,1
"417",417,417,0.80392110973361,200,4,2,1
"418",418,418,0.80392110973361,200,4,3,1
"419",419,419,0.80392110973361,200,4,4,1
"420",420,420,0.80392110973361,200,4,5,1
"421",421,421,0.80392110973361,200,5,1,1
"422",422,422,0.80392110973361,200,5,2,1
"423",423,423,0.80392110973361,200,5,3,1
"424",424,424,0.80392110973361,200,5,4,1
"425",425,425,0.80392110973361,200,5,5,1
"426",426,426,0.745918634968921,200,1,1,1
"427",427,427,0.745918634968921,200,1,2,1
"428",428,428,0.745918634968921,200,1,3,1
"429",429,429,0.745918634968921,200,1,4,1
"430",430,430,0.745918634968921,200,1,5,1
"431",431,431,0.745918634968921,200,2,1,1
"432",432,432,0.745918634968921,200,2,2,1
"433",433,433,0.745918634968921,200,2,3,1
"434",434,434,0.745918634968921,200,2,4,1
"435",435,435,0.745918634968921,200,2,5,1
"436",436,436,0.745918634968921,200,3,1,1
"437",437,437,0.745918634968921,200,3,2,1
"438",438,438,0.745918634968921,200,3,3,1
"439",439,439,0.745918634968921,200,3,4,1
"440",440,440,0.745918634968921,200,3,5,1
"441",441,441,0.745918634968921,200,4,1,1
"442",442,442,0.745918634968921,200,4,2,1
"443",443,443,0.745918634968921,200,4,3,1
"444",444,444,0.745918634968921,200,4,4,1
"445",445,445,0.745918634968921,200,4,5,1
"446",446,446,0.745918634968921,200,5,1,1
"447",447,447,0.745918634968921,200,5,2,1
"448",448,448,0.745918634968921,200,5,3,1
"449",449,449,0.745918634968921,200,5,4,1
"450",450,450,0.745918634968921,200,5,5,1
"451",451,451,0.924095150001717,200,1,1,1
"452",452,452,0.924095150001717,200,1,2,1
"453",453,453,0.924095150001717,200,1,3,1
"454",454,454,0.924095150001717,200,1,4,1
"455",455,455,0.924095150001717,200,1,5,1
"456",456,456,0.924095150001717,200,2,1,1
"457",457,457,0.924095150001717,200,2,2,1
"458",458,458,0.924095150001717,200,2,3,1
"459",459,459,0.924095150001717,200,2,4,1
"460",460,460,0.924095150001717,200,2,5,1
"461",461,461,0.924095150001717,200,3,1,1
"462",462,462,0.924095150001717,200,3,2,1
"463",463,463,0.924095150001717,200,3,3,1
"464",464,464,0.924095150001717,200,3,4,1
"465",465,465,0.924095150001717,200,3,5,1
"466",466,466,0.924095150001717,200,4,1,1
"467",467,467,0.924095150001717,200,4,2,1
"468",468,468,0.924095150001717,200,4,3,1
"469",469,469,0.924095150001717,200,4,4,1
"470",470,470,0.924095150001717,200,4,5,1
"471",471,471,0.924095150001717,200,5,1,1
"472",472,472,0.924095150001717,200,5,2,1
"473",473,473,0.924095150001717,200,5,3,1
"474",474,474,0.924095150001717,200,5,4,1
"475",475,475,0.924095150001717,200,5,5,1
"476",476,476,0.922037017948734,200,1,1,1
"477",477,477,0.922037017948734,200,1,2,1
"478",478,478,0.922037017948734,200,1,3,1
"479",479,479,0.922037017948734,200,1,4,1
"480",480,480,0.922037017948734,200,1,5,1
"481",481,481,0.922037017948734,200,2,1,1
"482",482,482,0.922037017948734,200,2,2,1
"483",483,483,0.922037017948734,200,2,3,1
"484",484,484,0.922037017948734,200,2,4,1
"485",485,485,0.922037017948734,200,2,5,1
"486",486,486,0.922037017948734,200,3,1,1
"487",487,487,0.922037017948734,200,3,2,1
"488",488,488,0.922037017948734,200,3,3,1
"489",489,489,0.922037017948734,200,3,4,1
"490",490,490,0.922037017948734,200,3,5,1
"491",491,491,0.922037017948734,200,4,1,1
"492",492,492,0.922037017948734,200,4,2,1
"493",493,493,0.922037017948734,200,4,3,1
"494",494,494,0.922037017948734,200,4,4,1
"495",495,495,0.922037017948734,200,4,5,1
"496",496,496,0.922037017948734,200,5,1,1
"497",497,497,0.922037017948734,200,5,2,1
"498",498,498,0.922037017948734,200,5,3,1
"499",499,499,0.922037017948734,200,5,4,1
"500",500,500,0.922037017948734,200,5,5,1
"501",501,501,-0.820716559022458,300,1,1,1
"502",502,502,-0.820716559022458,300,1,2,1
"503",503,503,-0.820716559022458,300,1,3,1
"504",504,504,-0.820716559022458,300,1,4,1
"505",505,505,-0.820716559022458,300,1,5,1
"506",506,506,-0.820716559022458,300,2,1,1
"507",507,507,-0.820716559022458,300,2,2,1
"508",508,508,-0.820716559022458,300,2,3,1
"509",509,509,-0.820716559022458,300,2,4,1
"510",510,510,-0.820716559022458,300,2,5,1
"511",511,511,-0.820716559022458,300,3,1,1
"512",512,512,-0.820716559022458,300,3,2,1
"513",513,513,-0.820716559022458,300,3,3,1
"514",514,514,-0.820716559022458,300,3,4,1
"515",515,515,-0.820716559022458,300,3,5,1
"516",516,516,-0.820716559022458,300,4,1,1
"517",517,517,-0.820716559022458,300,4,2,1
"518",518,518,-0.820716559022458,300,4,3,1
"519",519,519,-0.820716559022458,300,4,4,1
"520",520,520,-0.820716559022458,300,4,5,1
"521",521,521,-0.820716559022458,300,5,1,1
"522",522,522,-0.820716559022458,300,5,2,1
"523",523,523,-0.820716559022458,300,5,3,1
"524",524,524,-0.820716559022458,300,5,4,1
"525",525,525,-0.820716559022458,300,5,5,1
"526",526,526,-0.960244414518012,300,1,1,1
"527",527,527,-0.960244414518012,300,1,2,1
"528",528,528,-0.960244414518012,300,1,3,1
"529",529,529,-0.960244414518012,300,1,4,1
"530",530,530,-0.960244414518012,300,1,5,1
"531",531,531,-0.960244414518012,300,2,1,1
"532",532,532,-0.960244414518012,300,2,2,1
"533",533,533,-0.960244414518012,300,2,3,1
"534",534,534,-0.960244414518012,300,2,4,1
"535",535,535,-0.960244414518012,300,2,5,1
"536",536,536,-0.960244414518012,300,3,1,1
"537",537,537,-0.960244414518012,300,3,2,1
"538",538,538,-0.960244414518012,300,3,3,1
"539",539,539,-0.960244414518012,300,3,4,1
"540",540,540,-0.960244414518012,300,3,5,1
"541",541,541,-0.960244414518012,300,4,1,1
"542",542,542,-0.960244414518012,300,4,2,1
"543",543,543,-0.960244414518012,300,4,3,1
"544",544,544,-0.960244414518012,300,4,4,1
"545",545,545,-0.960244414518012,300,4,5,1
"546",546,546,-0.960244414518012,300,5,1,1
"547",547,547,-0.960244414518012,300,5,2,1
"548",548,548,-0.960244414518012,300,5,3,1
"549",549,549,-0.960244414518012,300,5,4,1
"550",550,550,-0.960244414518012,300,5,5,1
"551",551,551,-0.737614075618474,300,1,1,1
"552",552,552,-0.737614075618474,300,1,2,1
"553",553,553,-0.737614075618474,300,1,3,1
"554",554,554,-0.737614075618474,300,1,4,1
"555",555,555,-0.737614075618474,300,1,5,1
"556",556,556,-0.737614075618474,300,2,1,1
"557",557,557,-0.737614075618474,300,2,2,1
"558",558,558,-0.737614075618474,300,2,3,1
"559",559,559,-0.737614075618474,300,2,4,1
"560",560,560,-0.737614075618474,300,2,5,1
"561",561,561,-0.737614075618474,300,3,1,1
"562",562,562,-0.737614075618474,300,3,2,1
"563",563,563,-0.737614075618474,300,3,3,1
"564",564,564,-0.737614075618474,300,3,4,1
"565",565,565,-0.737614075618474,300,3,5,1
"566",566,566,-0.737614075618474,300,4,1,1
"567",567,567,-0.737614075618474,300,4,2,1
"568",568,568,-0.737614075618474,300,4,3,1
"569",569,569,-0.737614075618474,300,4,4,1
"570",570,570,-0.737614075618474,300,4,5,1
"571",571,571,-0.737614075618474,300,5,1,1
"572",572,572,-0.737614075618474,300,5,2,1
"573",573,573,-0.737614075618474,300,5,3,1
"574",574,574,-0.737614075618474,300,5,4,1
"575",575,575,-0.737614075618474,300,5,5,1
"576",576,576,-0.337846524670139,300,1,1,1
"577",577,577,-0.337846524670139,300,1,2,1
"578",578,578,-0.337846524670139,300,1,3,1
"579",579,579,-0.337846524670139,300,1,4,1
"580",580,580,-0.337846524670139,300,1,5,1
"581",581,581,-0.337846524670139,300,2,1,1
"582",582,582,-0.337846524670139,300,2,2,1
"583",583,583,-0.337846524670139,300,2,3,1
"584",584,584,-0.337846524670139,300,2,4,1
"585",585,585,-0.337846524670139,300,2,5,1
"586",586,586,-0.337846524670139,300,3,1,1
"587",587,587,-0.337846524670139,300,3,2,1
"588",588,588,-0.337846524670139,300,3,3,1
"589",589,589,-0.337846524670139,300,3,4,1
"590",590,590,-0.337846524670139,300,3,5,1
"591",591,591,-0.337846524670139,300,4,1,1
