"","set","in.lineup.ID","n","target1","target2","ID","signal"
"143",8,3,45,5,4,143,0
"144",8,4,45,5,4,144,1
"145",8,5,45,5,4,145,1
"146",8,6,45,5,4,146,0
"147",8,7,45,5,4,147,0
"148",8,8,45,5,4,148,0
"149",8,9,45,5,4,149,0
"150",8,10,45,5,4,150,0
"151",8,11,45,5,4,151,0
"152",8,12,45,5,4,152,0
"153",8,13,45,5,4,153,0
"154",8,14,45,5,4,154,0
"155",8,15,45,5,4,155,0
"156",8,16,45,5,4,156,0
"157",8,17,45,5,4,157,0
"158",8,18,45,5,4,158,0
"159",8,19,45,5,4,159,0
"160",8,20,45,5,4,160,0
"161",9,1,45,10,14,161,0
"162",9,2,45,10,14,162,0
"163",9,3,45,10,14,163,0
"164",9,4,45,10,14,164,0
"165",9,5,45,10,14,165,0
"166",9,6,45,10,14,166,0
"167",9,7,45,10,14,167,0
"168",9,8,45,10,14,168,0
"169",9,9,45,10,14,169,0
"170",9,10,45,10,14,170,1
"171",9,11,45,10,14,171,0
"172",9,12,45,10,14,172,0
"173",9,13,45,10,14,173,0
"174",9,14,45,10,14,174,1
"175",9,15,45,10,14,175,0
"176",9,16,45,10,14,176,0
"177",9,17,45,10,14,177,0
"178",9,18,45,10,14,178,0
"179",9,19,45,10,14,179,0
"180",9,20,45,10,14,180,0
"181",10,1,45,9,1,181,1
"182",10,2,45,9,1,182,0
"183",10,3,45,9,1,183,0
"184",10,4,45,9,1,184,0
"185",10,5,45,9,1,185,0
"186",10,6,45,9,1,186,0
"187",10,7,45,9,1,187,0
"188",10,8,45,9,1,188,0
"189",10,9,45,9,1,189,1
"190",10,10,45,9,1,190,0
"191",10,11,45,9,1,191,0
"192",10,12,45,9,1,192,0
"193",10,13,45,9,1,193,0
"194",10,14,45,9,1,194,0
"195",10,15,45,9,1,195,0
"196",10,16,45,9,1,196,0
"197",10,17,45,9,1,197,0
"198",10,18,45,9,1,198,0
"199",10,19,45,9,1,199,0
"200",10,20,45,9,1,200,0
"201",11,1,45,14,15,201,0
"202",11,2,45,14,15,202,0
"203",11,3,45,14,15,203,0
"204",11,4,45,14,15,204,0
"205",11,5,45,14,15,205,0
"206",11,6,45,14,15,206,0
"207",11,7,45,14,15,207,0
"208",11,8,45,14,15,208,0
"209",11,9,45,14,15,209,0
"210",11,10,45,14,15,210,0
"211",11,11,45,14,15,211,0
"212",11,12,45,14,15,212,0
"213",11,13,45,14,15,213,0
"214",11,14,45,14,15,214,1
"215",11,15,45,14,15,215,1
"216",11,16,45,14,15,216,0
"217",11,17,45,14,15,217,0
"218",11,18,45,14,15,218,0
"219",11,19,45,14,15,219,0
"220",11,20,45,14,15,220,0
"221",12,1,45,12,16,221,0
"222",12,2,45,12,16,222,0
"223",12,3,45,12,16,223,0
"224",12,4,45,12,16,224,0
"225",12,5,45,12,16,225,0
"226",12,6,45,12,16,226,0
"227",12,7,45,12,16,227,0
"228",12,8,45,12,16,228,0
"229",12,9,45,12,16,229,0
"230",12,10,45,12,16,230,0
"231",12,11,45,12,16,231,0
"232",12,12,45,12,16,232,1
"233",12,13,45,12,16,233,0
"234",12,14,45,12,16,234,0
"235",12,15,45,12,16,235,0
"236",12,16,45,12,16,236,1
"237",12,17,45,12,16,237,0
"238",12,18,45,12,16,238,0
"239",12,19,45,12,16,239,0
"240",12,20,45,12,16,240,0
"241",13,1,45,5,3,241,0
"242",13,2,45,5,3,242,0
"243",13,3,45,5,3,243,1
"244",13,4,45,5,3,244,0
"245",13,5,45,5,3,245,1
"246",13,6,45,5,3,246,0
"247",13,7,45,5,3,247,0
"248",13,8,45,5,3,248,0
"249",13,9,45,5,3,249,0
"250",13,10,45,5,3,250,0
"251",13,11,45,5,3,251,0
"252",13,12,45,5,3,252,0
"253",13,13,45,5,3,253,0
"254",13,14,45,5,3,254,0
"255",13,15,45,5,3,255,0
"256",13,16,45,5,3,256,0
"257",13,17,45,5,3,257,0
"258",13,18,45,5,3,258,0
"259",13,19,45,5,3,259,0
"260",13,20,45,5,3,260,0
"261",14,1,45,14,6,261,0
"262",14,2,45,14,6,262,0
"263",14,3,45,14,6,263,0
"264",14,4,45,14,6,264,0
"265",14,5,45,14,6,265,0
"266",14,6,45,14,6,266,1
"267",14,7,45,14,6,267,0
"268",14,8,45,14,6,268,0
"269",14,9,45,14,6,269,0
"270",14,10,45,14,6,270,0
"271",14,11,45,14,6,271,0
"272",14,12,45,14,6,272,0
"273",14,13,45,14,6,273,0
"274",14,14,45,14,6,274,1
"275",14,15,45,14,6,275,0
"276",14,16,45,14,6,276,0
"277",14,17,45,14,6,277,0
"278",14,18,45,14,6,278,0
"279",14,19,45,14,6,279,0
"280",14,20,45,14,6,280,0
"281",15,1,45,5,11,281,0
"282",15,2,45,5,11,282,0
"283",15,3,45,5,11,283,0
"284",15,4,45,5,11,284,0
"285",15,5,45,5,11,285,1
"286",15,6,45,5,11,286,0
"287",15,7,45,5,11,287,0
"288",15,8,45,5,11,288,0
"289",15,9,45,5,11,289,0
"290",15,10,45,5,11,290,0
"291",15,11,45,5,11,291,1
"292",15,12,45,5,11,292,0
"293",15,13,45,5,11,293,0
"294",15,14,45,5,11,294,0
"295",15,15,45,5,11,295,0
"296",15,16,45,5,11,296,0
"297",15,17,45,5,11,297,0
"298",15,18,45,5,11,298,0
"299",15,19,45,5,11,299,0
"300",15,20,45,5,11,300,0
"301",16,1,45,9,20,301,0
"302",16,2,45,9,20,302,0
"303",16,3,45,9,20,303,0
"304",16,4,45,9,20,304,0
"305",16,5,45,9,20,305,0
"306",16,6,45,9,20,306,0
"307",16,7,45,9,20,307,0
"308",16,8,45,9,20,308,0
"309",16,9,45,9,20,309,1
"310",16,10,45,9,20,310,0
"311",16,11,45,9,20,311,0
"312",16,12,45,9,20,312,0
"313",16,13,45,9,20,313,0
"314",16,14,45,9,20,314,0
"315",16,15,45,9,20,315,0
"316",16,16,45,9,20,316,0
"317",16,17,45,9,20,317,0
"318",16,18,45,9,20,318,0
"319",16,19,45,9,20,319,0
"320",16,20,45,9,20,320,1
"321",17,1,45,20,13,321,0
"322",17,2,45,20,13,322,0
"323",17,3,45,20,13,323,0
"324",17,4,45,20,13,324,0
"325",17,5,45,20,13,325,0
"326",17,6,45,20,13,326,0
"327",17,7,45,20,13,327,0
"328",17,8,45,20,13,328,0
"329",17,9,45,20,13,329,0
"330",17,10,45,20,13,330,0
"331",17,11,45,20,13,331,0
"332",17,12,45,20,13,332,0
"333",17,13,45,20,13,333,1
"334",17,14,45,20,13,334,0
"335",17,15,45,20,13,335,0
"336",17,16,45,20,13,336,0
"337",17,17,45,20,13,337,0
"338",17,18,45,20,13,338,0
"339",17,19,45,20,13,339,0
"340",17,20,45,20,13,340,1
"341",18,1,45,12,7,341,0
"342",18,2,45,12,7,342,0
"343",18,3,45,12,7,343,0
"344",18,4,45,12,7,344,0
"345",18,5,45,12,7,345,0
"346",18,6,45,12,7,346,0
"347",18,7,45,12,7,347,1
"348",18,8,45,12,7,348,0
"349",18,9,45,12,7,349,0
"350",18,10,45,12,7,350,0
"351",18,11,45,12,7,351,0
"352",18,12,45,12,7,352,1
"353",18,13,45,12,7,353,0
"354",18,14,45,12,7,354,0
"355",18,15,45,12,7,355,0
"356",18,16,45,12,7,356,0
"357",18,17,45,12,7,357,0
"358",18,18,45,12,7,358,0
"359",18,19,45,12,7,359,0
"360",18,20,45,12,7,360,0
"361",19,1,45,14,20,361,0
"362",19,2,45,14,20,362,0
"363",19,3,45,14,20,363,0
"364",19,4,45,14,20,364,0
"365",19,5,45,14,20,365,0
"366",19,6,45,14,20,366,0
"367",19,7,45,14,20,367,0
"368",19,8,45,14,20,368,0
"369",19,9,45,14,20,369,0
"370",19,10,45,14,20,370,0
"371",19,11,45,14,20,371,0
"372",19,12,45,14,20,372,0
"373",19,13,45,14,20,373,0
"374",19,14,45,14,20,374,1
"375",19,15,45,14,20,375,0
"376",19,16,45,14,20,376,0
"377",19,17,45,14,20,377,0
"378",19,18,45,14,20,378,0
"379",19,19,45,14,20,379,0
"380",19,20,45,14,20,380,1
"381",20,1,45,3,9,381,0
"382",20,2,45,3,9,382,0
"383",20,3,45,3,9,383,1
"384",20,4,45,3,9,384,0
"385",20,5,45,3,9,385,0
"386",20,6,45,3,9,386,0
"387",20,7,45,3,9,387,0
"388",20,8,45,3,9,388,0
"389",20,9,45,3,9,389,1
"390",20,10,45,3,9,390,0
"391",20,11,45,3,9,391,0
"392",20,12,45,3,9,392,0
"393",20,13,45,3,9,393,0
"394",20,14,45,3,9,394,0
"395",20,15,45,3,9,395,0
"396",20,16,45,3,9,396,0
"397",20,17,45,3,9,397,0
"398",20,18,45,3,9,398,0
"399",20,19,45,3,9,399,0
"400",20,20,45,3,9,400,0
"401",21,1,45,17,1,401,1
"402",21,2,45,17,1,402,0
"403",21,3,45,17,1,403,0
"404",21,4,45,17,1,404,0
"405",21,5,45,17,1,405,0
"406",21,6,45,17,1,406,0
"407",21,7,45,17,1,407,0
"408",21,8,45,17,1,408,0
"409",21,9,45,17,1,409,0
"410",21,10,45,17,1,410,0
"411",21,11,45,17,1,411,0
"412",21,12,45,17,1,412,0
"413",21,13,45,17,1,413,0
"414",21,14,45,17,1,414,0
"415",21,15,45,17,1,415,0
"416",21,16,45,17,1,416,0
"417",21,17,45,17,1,417,1
"418",21,18,45,17,1,418,0
"419",21,19,45,17,1,419,0
"420",21,20,45,17,1,420,0
"421",22,1,45,9,18,421,0
"422",22,2,45,9,18,422,0
"423",22,3,45,9,18,423,0
"424",22,4,45,9,18,424,0
"425",22,5,45,9,18,425,0
"426",22,6,45,9,18,426,0
"427",22,7,45,9,18,427,0
"428",22,8,45,9,18,428,0
"429",22,9,45,9,18,429,1
"430",22,10,45,9,18,430,0
"431",22,11,45,9,18,431,0
"432",22,12,45,9,18,432,0
"433",22,13,45,9,18,433,0
"434",22,14,45,9,18,434,0
"435",22,15,45,9,18,435,0
"436",22,16,45,9,18,436,0
"437",22,17,45,9,18,437,0
"438",22,18,45,9,18,438,1
"439",22,19,45,9,18,439,0
"440",22,20,45,9,18,440,0
"441",23,1,45,4,15,441,0
"442",23,2,45,4,15,442,0
"443",23,3,45,4,15,443,0
"444",23,4,45,4,15,444,1
"445",23,5,45,4,15,445,0
"446",23,6,45,4,15,446,0
"447",23,7,45,4,15,447,0
"448",23,8,45,4,15,448,0
"449",23,9,45,4,15,449,0
"450",23,10,45,4,15,450,0
"451",23,11,45,4,15,451,0
"452",23,12,45,4,15,452,0
"453",23,13,45,4,15,453,0
"454",23,14,45,4,15,454,0
"455",23,15,45,4,15,455,1
"456",23,16,45,4,15,456,0
"457",23,17,45,4,15,457,0
"458",23,18,45,4,15,458,0
"459",23,19,45,4,15,459,0
"460",23,20,45,4,15,460,0
"461",24,1,45,7,12,461,0
"462",24,2,45,7,12,462,0
"463",24,3,45,7,12,463,0
"464",24,4,45,7,12,464,0
"465",24,5,45,7,12,465,0
"466",24,6,45,7,12,466,0
"467",24,7,45,7,12,467,1
"468",24,8,45,7,12,468,0
"469",24,9,45,7,12,469,0
"470",24,10,45,7,12,470,0
"471",24,11,45,7,12,471,0
"472",24,12,45,7,12,472,1
"473",24,13,45,7,12,473,0
"474",24,14,45,7,12,474,0
"475",24,15,45,7,12,475,0
"476",24,16,45,7,12,476,0
"477",24,17,45,7,12,477,0
"478",24,18,45,7,12,478,0
"479",24,19,45,7,12,479,0
"480",24,20,45,7,12,480,0
"481",25,1,45,4,7,481,0
"482",25,2,45,4,7,482,0
"483",25,3,45,4,7,483,0
"484",25,4,45,4,7,484,1
"485",25,5,45,4,7,485,0
"486",25,6,45,4,7,486,0
"487",25,7,45,4,7,487,1
"488",25,8,45,4,7,488,0
"489",25,9,45,4,7,489,0
"490",25,10,45,4,7,490,0
"491",25,11,45,4,7,491,0
"492",25,12,45,4,7,492,0
"493",25,13,45,4,7,493,0
"494",25,14,45,4,7,494,0
"495",25,15,45,4,7,495,0
"496",25,16,45,4,7,496,0
"497",25,17,45,4,7,497,0
"498",25,18,45,4,7,498,0
"499",25,19,45,4,7,499,0
"500",25,20,45,4,7,500,0
"501",26,1,45,16,14,501,0
"502",26,2,45,16,14,502,0
"503",26,3,45,16,14,503,0
"504",26,4,45,16,14,504,0
"505",26,5,45,16,14,505,0
"506",26,6,45,16,14,506,0
"507",26,7,45,16,14,507,0
"508",26,8,45,16,14,508,0
"509",26,9,45,16,14,509,0
"510",26,10,45,16,14,510,0
"511",26,11,45,16,14,511,0
"512",26,12,45,16,14,512,0
"513",26,13,45,16,14,513,0
"514",26,14,45,16,14,514,1
"515",26,15,45,16,14,515,0
"516",26,16,45,16,14,516,1
"517",26,17,45,16,14,517,0
"518",26,18,45,16,14,518,0
"519",26,19,45,16,14,519,0
"520",26,20,45,16,14,520,0
"521",27,1,45,15,16,521,0
"522",27,2,45,15,16,522,0
"523",27,3,45,15,16,523,0
"524",27,4,45,15,16,524,0
"525",27,5,45,15,16,525,0
"526",27,6,45,15,16,526,0
"527",27,7,45,15,16,527,0
"528",27,8,45,15,16,528,0
"529",27,9,45,15,16,529,0
"530",27,10,45,15,16,530,0
"531",27,11,45,15,16,531,0
"532",27,12,45,15,16,532,0
"533",27,13,45,15,16,533,0
"534",27,14,45,15,16,534,0
"535",27,15,45,15,16,535,1
"536",27,16,45,15,16,536,1
"537",27,17,45,15,16,537,0
"538",27,18,45,15,16,538,0
"539",27,19,45,15,16,539,0
"540",27,20,45,15,16,540,0
