"","ID","N","AR","interest"
"93",93,400,-0.75,1
"94",94,400,0,0
"95",95,500,-0.75,1
"96",96,500,0,0
"97",97,100,-0.5,1
"98",98,100,0,0
"99",99,150,-0.5,1
"100",100,150,0,0
"101",101,200,-0.5,1
"102",102,200,0,0
"103",103,300,-0.5,1
"104",104,300,0,0
"105",105,400,-0.5,1
"106",106,400,0,0
"107",107,500,-0.5,1
"108",108,500,0,0
"109",109,100,0.5,1
"110",110,100,0,0
"111",111,150,0.5,1
"112",112,150,0,0
"113",113,200,0.5,1
"114",114,200,0,0
"115",115,300,0.5,1
"116",116,300,0,0
"117",117,400,0.5,1
"118",118,400,0,0
"119",119,500,0.5,1
"120",120,500,0,0
"121",121,100,0.75,1
"122",122,100,0,0
"123",123,150,0.75,1
"124",124,150,0,0
"125",125,200,0.75,1
"126",126,200,0,0
"127",127,300,0.75,1
"128",128,300,0,0
"129",129,400,0.75,1
"130",130,400,0,0
"131",131,500,0.75,1
"132",132,500,0,0
"133",133,100,0.9,1
"134",134,100,0,0
"135",135,150,0.9,1
"136",136,150,0,0
"137",137,200,0.9,1
"138",138,200,0,0
"139",139,300,0.9,1
"140",140,300,0,0
"141",141,400,0.9,1
"142",142,400,0,0
"143",143,500,0.9,1
"144",144,500,0,0
"145",145,100,-0.9,1
"146",146,100,0,0
"147",147,150,-0.9,1
"148",148,150,0,0
"149",149,200,-0.9,1
"150",150,200,0,0
"151",151,300,-0.9,1
"152",152,300,0,0
"153",153,400,-0.9,1
"154",154,400,0,0
"155",155,500,-0.9,1
"156",156,500,0,0
"157",157,100,-0.75,1
"158",158,100,0,0
"159",159,150,-0.75,1
"160",160,150,0,0
"161",161,200,-0.75,1
"162",162,200,0,0
"163",163,300,-0.75,1
"164",164,300,0,0
"165",165,400,-0.75,1
"166",166,400,0,0
"167",167,500,-0.75,1
"168",168,500,0,0
"169",169,100,-0.5,1
"170",170,100,0,0
"171",171,150,-0.5,1
"172",172,150,0,0
"173",173,200,-0.5,1
"174",174,200,0,0
"175",175,300,-0.5,1
"176",176,300,0,0
"177",177,400,-0.5,1
"178",178,400,0,0
"179",179,500,-0.5,1
"180",180,500,0,0
"181",181,100,0.5,1
"182",182,100,0,0
"183",183,150,0.5,1
"184",184,150,0,0
"185",185,200,0.5,1
"186",186,200,0,0
"187",187,300,0.5,1
"188",188,300,0,0
"189",189,400,0.5,1
"190",190,400,0,0
"191",191,500,0.5,1
"192",192,500,0,0
"193",193,100,0.75,1
"194",194,100,0,0
"195",195,150,0.75,1
"196",196,150,0,0
"197",197,200,0.75,1
"198",198,200,0,0
"199",199,300,0.75,1
"200",200,300,0,0
"201",201,400,0.75,1
"202",202,400,0,0
"203",203,500,0.75,1
"204",204,500,0,0
"205",205,100,0.9,1
"206",206,100,0,0
"207",207,150,0.9,1
"208",208,150,0,0
"209",209,200,0.9,1
"210",210,200,0,0
"211",211,300,0.9,1
"212",212,300,0,0
"213",213,400,0.9,1
"214",214,400,0,0
"215",215,500,0.9,1
"216",216,500,0,0
"217",217,100,-0.9,1
"218",218,100,0,0
"219",219,150,-0.9,1
"220",220,150,0,0
"221",221,200,-0.9,1
"222",222,200,0,0
"223",223,300,-0.9,1
"224",224,300,0,0
"225",225,400,-0.9,1
"226",226,400,0,0
"227",227,500,-0.9,1
"228",228,500,0,0
"229",229,100,-0.75,1
"230",230,100,0,0
"231",231,150,-0.75,1
"232",232,150,0,0
"233",233,200,-0.75,1
"234",234,200,0,0
"235",235,300,-0.75,1
"236",236,300,0,0
"237",237,400,-0.75,1
"238",238,400,0,0
"239",239,500,-0.75,1
"240",240,500,0,0
"241",241,100,-0.5,1
"242",242,100,0,0
"243",243,150,-0.5,1
"244",244,150,0,0
"245",245,200,-0.5,1
"246",246,200,0,0
"247",247,300,-0.5,1
"248",248,300,0,0
"249",249,400,-0.5,1
"250",250,400,0,0
"251",251,500,-0.5,1
"252",252,500,0,0
"253",253,100,0.5,1
"254",254,100,0,0
"255",255,150,0.5,1
"256",256,150,0,0
"257",257,200,0.5,1
"258",258,200,0,0
"259",259,300,0.5,1
"260",260,300,0,0
"261",261,400,0.5,1
"262",262,400,0,0
"263",263,500,0.5,1
"264",264,500,0,0
"265",265,100,0.75,1
"266",266,100,0,0
"267",267,150,0.75,1
"268",268,150,0,0
"269",269,200,0.75,1
"270",270,200,0,0
"271",271,300,0.75,1
"272",272,300,0,0
"273",273,400,0.75,1
"274",274,400,0,0
"275",275,500,0.75,1
"276",276,500,0,0
"277",277,100,0.9,1
"278",278,100,0,0
"279",279,150,0.9,1
"280",280,150,0,0
"281",281,200,0.9,1
"282",282,200,0,0
"283",283,300,0.9,1
"284",284,300,0,0
"285",285,400,0.9,1
"286",286,400,0,0
"287",287,500,0.9,1
"288",288,500,0,0
"289",289,100,-0.9,1
"290",290,100,0,0
"291",291,150,-0.9,1
"292",292,150,0,0
"293",293,200,-0.9,1
"294",294,200,0,0
"295",295,300,-0.9,1
"296",296,300,0,0
"297",297,400,-0.9,1
"298",298,400,0,0
"299",299,500,-0.9,1
"300",300,500,0,0
"301",301,100,-0.75,1
"302",302,100,0,0
"303",303,150,-0.75,1
"304",304,150,0,0
"305",305,200,-0.75,1
"306",306,200,0,0
"307",307,300,-0.75,1
"308",308,300,0,0
"309",309,400,-0.75,1
"310",310,400,0,0
"311",311,500,-0.75,1
"312",312,500,0,0
"313",313,100,-0.5,1
"314",314,100,0,0
"315",315,150,-0.5,1
"316",316,150,0,0
"317",317,200,-0.5,1
"318",318,200,0,0
"319",319,300,-0.5,1
"320",320,300,0,0
"321",321,400,-0.5,1
"322",322,400,0,0
"323",323,500,-0.5,1
"324",324,500,0,0
"325",325,100,0.5,1
"326",326,100,0,0
"327",327,150,0.5,1
"328",328,150,0,0
"329",329,200,0.5,1
"330",330,200,0,0
"331",331,300,0.5,1
"332",332,300,0,0
"333",333,400,0.5,1
"334",334,400,0,0
"335",335,500,0.5,1
"336",336,500,0,0
"337",337,100,0.75,1
"338",338,100,0,0
"339",339,150,0.75,1
"340",340,150,0,0
"341",341,200,0.75,1
"342",342,200,0,0
"343",343,300,0.75,1
"344",344,300,0,0
"345",345,400,0.75,1
"346",346,400,0,0
"347",347,500,0.75,1
"348",348,500,0,0
"349",349,100,0.9,1
"350",350,100,0,0
"351",351,150,0.9,1
"352",352,150,0,0
"353",353,200,0.9,1
"354",354,200,0,0
"355",355,300,0.9,1
"356",356,300,0,0
"357",357,400,0.9,1
"358",358,400,0,0
"359",359,500,0.9,1
"360",360,500,0,0
"361",361,100,-0.9,1
"362",362,100,0,0
"363",363,150,-0.9,1
"364",364,150,0,0
"365",365,200,-0.9,1
"366",366,200,0,0
"367",367,300,-0.9,1
"368",368,300,0,0
"369",369,400,-0.9,1
"370",370,400,0,0
"371",371,500,-0.9,1
"372",372,500,0,0
"373",373,100,-0.75,1
"374",374,100,0,0
"375",375,150,-0.75,1
"376",376,150,0,0
"377",377,200,-0.75,1
"378",378,200,0,0
"379",379,300,-0.75,1
"380",380,300,0,0
"381",381,400,-0.75,1
"382",382,400,0,0
"383",383,500,-0.75,1
"384",384,500,0,0
"385",385,100,-0.5,1
"386",386,100,0,0
"387",387,150,-0.5,1
"388",388,150,0,0
"389",389,200,-0.5,1
"390",390,200,0,0
"391",391,300,-0.5,1
"392",392,300,0,0
"393",393,400,-0.5,1
"394",394,400,0,0
"395",395,500,-0.5,1
"396",396,500,0,0
"397",397,100,0.5,1
"398",398,100,0,0
"399",399,150,0.5,1
"400",400,150,0,0
"401",401,200,0.5,1
"402",402,200,0,0
"403",403,300,0.5,1
"404",404,300,0,0
"405",405,400,0.5,1
"406",406,400,0,0
"407",407,500,0.5,1
"408",408,500,0,0
"409",409,100,0.75,1
"410",410,100,0,0
"411",411,150,0.75,1
"412",412,150,0,0
"413",413,200,0.75,1
"414",414,200,0,0
"415",415,300,0.75,1
"416",416,300,0,0
"417",417,400,0.75,1
"418",418,400,0,0
"419",419,500,0.75,1
"420",420,500,0,0
"421",421,100,0.9,1
"422",422,100,0,0
"423",423,150,0.9,1
"424",424,150,0,0
"425",425,200,0.9,1
"426",426,200,0,0
"427",427,300,0.9,1
"428",428,300,0,0
"429",429,400,0.9,1
"430",430,400,0,0
"431",431,500,0.9,1
"432",432,500,0,0
"433",433,100,-0.9,1
"434",434,100,0,0
"435",435,150,-0.9,1
"436",436,150,0,0
"437",437,200,-0.9,1
"438",438,200,0,0
"439",439,300,-0.9,1
"440",440,300,0,0
"441",441,400,-0.9,1
"442",442,400,0,0
"443",443,500,-0.9,1
"444",444,500,0,0
"445",445,100,-0.75,1
"446",446,100,0,0
"447",447,150,-0.75,1
"448",448,150,0,0
"449",449,200,-0.75,1
"450",450,200,0,0
"451",451,300,-0.75,1
"452",452,300,0,0
"453",453,400,-0.75,1
"454",454,400,0,0
"455",455,500,-0.75,1
"456",456,500,0,0
"457",457,100,-0.5,1
"458",458,100,0,0
"459",459,150,-0.5,1
"460",460,150,0,0
"461",461,200,-0.5,1
"462",462,200,0,0
"463",463,300,-0.5,1
"464",464,300,0,0
"465",465,400,-0.5,1
"466",466,400,0,0
"467",467,500,-0.5,1
"468",468,500,0,0
"469",469,100,0.5,1
"470",470,100,0,0
"471",471,150,0.5,1
"472",472,150,0,0
"473",473,200,0.5,1
"474",474,200,0,0
"475",475,300,0.5,1
"476",476,300,0,0
"477",477,400,0.5,1
"478",478,400,0,0
"479",479,500,0.5,1
"480",480,500,0,0
"481",481,100,0.75,1
"482",482,100,0,0
"483",483,150,0.75,1
"484",484,150,0,0
"485",485,200,0.75,1
"486",486,200,0,0
"487",487,300,0.75,1
"488",488,300,0,0
"489",489,400,0.75,1
"490",490,400,0,0
"491",491,500,0.75,1
"492",492,500,0,0
"493",493,100,0.9,1
"494",494,100,0,0
"495",495,150,0.9,1
"496",496,150,0,0
"497",497,200,0.9,1
"498",498,200,0,0
"499",499,300,0.9,1
"500",500,300,0,0
"501",501,400,0.9,1
"502",502,400,0,0
"503",503,500,0.9,1
"504",504,500,0,0
"505",505,100,-0.9,1
"506",506,100,0,0
"507",507,150,-0.9,1
"508",508,150,0,0
"509",509,200,-0.9,1
"510",510,200,0,0
"511",511,300,-0.9,1
"512",512,300,0,0
"513",513,400,-0.9,1
"514",514,400,0,0
"515",515,500,-0.9,1
"516",516,500,0,0
"517",517,100,-0.75,1
"518",518,100,0,0
"519",519,150,-0.75,1
"520",520,150,0,0
"521",521,200,-0.75,1
"522",522,200,0,0
"523",523,300,-0.75,1
"524",524,300,0,0
"525",525,400,-0.75,1
"526",526,400,0,0
"527",527,500,-0.75,1
"528",528,500,0,0
"529",529,100,-0.5,1
"530",530,100,0,0
"531",531,150,-0.5,1
"532",532,150,0,0
"533",533,200,-0.5,1
"534",534,200,0,0
"535",535,300,-0.5,1
"536",536,300,0,0
"537",537,400,-0.5,1
"538",538,400,0,0
"539",539,500,-0.5,1
"540",540,500,0,0
"541",541,100,0.5,1
"542",542,100,0,0
"543",543,150,0.5,1
"544",544,150,0,0
"545",545,200,0.5,1
"546",546,200,0,0
"547",547,300,0.5,1
"548",548,300,0,0
"549",549,400,0.5,1
"550",550,400,0,0
"551",551,500,0.5,1
"552",552,500,0,0
"553",553,100,0.75,1
"554",554,100,0,0
"555",555,150,0.75,1
"556",556,150,0,0
"557",557,200,0.75,1
"558",558,200,0,0
"559",559,300,0.75,1
"560",560,300,0,0
"561",561,400,0.75,1
"562",562,400,0,0
"563",563,500,0.75,1
"564",564,500,0,0
"565",565,100,0.9,1
"566",566,100,0,0
"567",567,150,0.9,1
"568",568,150,0,0
"569",569,200,0.9,1
"570",570,200,0,0
"571",571,300,0.9,1
"572",572,300,0,0
"573",573,400,0.9,1
"574",574,400,0,0
"575",575,500,0.9,1
"576",576,500,0,0
"577",577,100,-0.9,1
"578",578,100,0,0
"579",579,150,-0.9,1
"580",580,150,0,0
"581",581,200,-0.9,1
"582",582,200,0,0
"583",583,300,-0.9,1
"584",584,300,0,0
"585",585,400,-0.9,1
"586",586,400,0,0
"587",587,500,-0.9,1
"588",588,500,0,0
"589",589,100,-0.75,1
"590",590,100,0,0
"591",591,150,-0.75,1
"592",592,150,0,0
"593",593,200,-0.75,1
"594",594,200,0,0
"595",595,300,-0.75,1
"596",596,300,0,0
"597",597,400,-0.75,1
"598",598,400,0,0
"599",599,500,-0.75,1
"600",600,500,0,0
"601",601,100,-0.5,1
"602",602,100,0,0
"603",603,150,-0.5,1
"604",604,150,0,0
"605",605,200,-0.5,1
"606",606,200,0,0
"607",607,300,-0.5,1
"608",608,300,0,0
"609",609,400,-0.5,1
"610",610,400,0,0
"611",611,500,-0.5,1
"612",612,500,0,0
"613",613,100,0.5,1
"614",614,100,0,0
"615",615,150,0.5,1
"616",616,150,0,0
"617",617,200,0.5,1
"618",618,200,0,0
"619",619,300,0.5,1
"620",620,300,0,0
"621",621,400,0.5,1
"622",622,400,0,0
"623",623,500,0.5,1
"624",624,500,0,0
"625",625,100,0.75,1
"626",626,100,0,0
"627",627,150,0.75,1
"628",628,150,0,0
"629",629,200,0.75,1
"630",630,200,0,0
"631",631,300,0.75,1
"632",632,300,0,0
"633",633,400,0.75,1
"634",634,400,0,0
"635",635,500,0.75,1
"636",636,500,0,0
"637",637,100,0.9,1
"638",638,100,0,0
"639",639,150,0.9,1
"640",640,150,0,0
"641",641,200,0.9,1
"642",642,200,0,0
"643",643,300,0.9,1
"644",644,300,0,0
"645",645,400,0.9,1
"646",646,400,0,0
"647",647,500,0.9,1
"648",648,500,0,0
"649",649,100,-0.9,1
"650",650,100,0,0
"651",651,150,-0.9,1
"652",652,150,0,0
"653",653,200,-0.9,1
"654",654,200,0,0
"655",655,300,-0.9,1
"656",656,300,0,0
"657",657,400,-0.9,1
"658",658,400,0,0
"659",659,500,-0.9,1
"660",660,500,0,0
"661",661,100,-0.75,1
"662",662,100,0,0
"663",663,150,-0.75,1
"664",664,150,0,0
"665",665,200,-0.75,1
"666",666,200,0,0
"667",667,300,-0.75,1
"668",668,300,0,0
"669",669,400,-0.75,1
"670",670,400,0,0
"671",671,500,-0.75,1
"672",672,500,0,0
"673",673,100,-0.5,1
"674",674,100,0,0
"675",675,150,-0.5,1
"676",676,150,0,0
"677",677,200,-0.5,1
"678",678,200,0,0
"679",679,300,-0.5,1
"680",680,300,0,0
"681",681,400,-0.5,1
"682",682,400,0,0
"683",683,500,-0.5,1
"684",684,500,0,0
"685",685,100,0.5,1
"686",686,100,0,0
"687",687,150,0.5,1
"688",688,150,0,0
"689",689,200,0.5,1
"690",690,200,0,0
"691",691,300,0.5,1
"692",692,300,0,0
"693",693,400,0.5,1
"694",694,400,0,0
"695",695,500,0.5,1
"696",696,500,0,0
"697",697,100,0.75,1
"698",698,100,0,0
"699",699,150,0.75,1
"700",700,150,0,0
"701",701,200,0.75,1
"702",702,200,0,0
"703",703,300,0.75,1
"704",704,300,0,0
"705",705,400,0.75,1
"706",706,400,0,0
"707",707,500,0.75,1
"708",708,500,0,0
"709",709,100,0.9,1
"710",710,100,0,0
"711",711,150,0.9,1
"712",712,150,0,0
"713",713,200,0.9,1
"714",714,200,0,0
"715",715,300,0.9,1
"716",716,300,0,0
"717",717,400,0.9,1
"718",718,400,0,0
"719",719,500,0.9,1
"720",720,500,0,0
"721",721,100,-0.9,1
"722",722,100,0,0
"723",723,150,-0.9,1
"724",724,150,0,0
"725",725,200,-0.9,1
"726",726,200,0,0
"727",727,300,-0.9,1
"728",728,300,0,0
"729",729,400,-0.9,1
"730",730,400,0,0
"731",731,500,-0.9,1
"732",732,500,0,0
"733",733,100,-0.75,1
"734",734,100,0,0
"735",735,150,-0.75,1
"736",736,150,0,0
"737",737,200,-0.75,1
"738",738,200,0,0
"739",739,300,-0.75,1
"740",740,300,0,0
"741",741,400,-0.75,1
"742",742,400,0,0
"743",743,500,-0.75,1
"744",744,500,0,0
"745",745,100,-0.5,1
"746",746,100,0,0
"747",747,150,-0.5,1
"748",748,150,0,0
"749",749,200,-0.5,1
"750",750,200,0,0
"751",751,300,-0.5,1
"752",752,300,0,0
"753",753,400,-0.5,1
"754",754,400,0,0
"755",755,500,-0.5,1
"756",756,500,0,0
"757",757,100,0.5,1
"758",758,100,0,0
"759",759,150,0.5,1
"760",760,150,0,0
"761",761,200,0.5,1
"762",762,200,0,0
"763",763,300,0.5,1
"764",764,300,0,0
"765",765,400,0.5,1
"766",766,400,0,0
"767",767,500,0.5,1
"768",768,500,0,0
"769",769,100,0.75,1
"770",770,100,0,0
"771",771,150,0.75,1
"772",772,150,0,0
"773",773,200,0.75,1
"774",774,200,0,0
"775",775,300,0.75,1
"776",776,300,0,0
"777",777,400,0.75,1
"778",778,400,0,0
"779",779,500,0.75,1
"780",780,500,0,0
"781",781,100,0.9,1
"782",782,100,0,0
"783",783,150,0.9,1
"784",784,150,0,0
"785",785,200,0.9,1
"786",786,200,0,0
"787",787,300,0.9,1
"788",788,300,0,0
"789",789,400,0.9,1
"790",790,400,0,0
"791",791,500,0.9,1
"792",792,500,0,0
"793",793,100,-0.9,1
"794",794,100,0,0
"795",795,150,-0.9,1
"796",796,150,0,0
"797",797,200,-0.9,1
"798",798,200,0,0
"799",799,300,-0.9,1
"800",800,300,0,0
"801",801,400,-0.9,1
"802",802,400,0,0
"803",803,500,-0.9,1
"804",804,500,0,0
"805",805,100,-0.75,1
"806",806,100,0,0
"807",807,150,-0.75,1
"808",808,150,0,0
"809",809,200,-0.75,1
"810",810,200,0,0
"811",811,300,-0.75,1
"812",812,300,0,0
"813",813,400,-0.75,1
"814",814,400,0,0
"815",815,500,-0.75,1
"816",816,500,0,0
"817",817,100,-0.5,1
"818",818,100,0,0
"819",819,150,-0.5,1
"820",820,150,0,0
"821",821,200,-0.5,1
"822",822,200,0,0
"823",823,300,-0.5,1
"824",824,300,0,0
"825",825,400,-0.5,1
"826",826,400,0,0
"827",827,500,-0.5,1
"828",828,500,0,0
"829",829,100,0.5,1
"830",830,100,0,0
"831",831,150,0.5,1
"832",832,150,0,0
"833",833,200,0.5,1
"834",834,200,0,0
"835",835,300,0.5,1
"836",836,300,0,0
"837",837,400,0.5,1
"838",838,400,0,0
"839",839,500,0.5,1
"840",840,500,0,0
"841",841,100,0.75,1
"842",842,100,0,0
"843",843,150,0.75,1
"844",844,150,0,0
"845",845,200,0.75,1
"846",846,200,0,0
"847",847,300,0.75,1
"848",848,300,0,0
"849",849,400,0.75,1
"850",850,400,0,0
"851",851,500,0.75,1
"852",852,500,0,0
"853",853,100,0.9,1
"854",854,100,0,0
"855",855,150,0.9,1
"856",856,150,0,0
"857",857,200,0.9,1
"858",858,200,0,0
"859",859,300,0.9,1
"860",860,300,0,0
"861",861,400,0.9,1
"862",862,400,0,0
"863",863,500,0.9,1
"864",864,500,0,0
"865",865,100,-0.9,1
"866",866,100,0,0
"867",867,150,-0.9,1
"868",868,150,0,0
"869",869,200,-0.9,1
"870",870,200,0,0
"871",871,300,-0.9,1
"872",872,300,0,0
"873",873,400,-0.9,1
"874",874,400,0,0
"875",875,500,-0.9,1
"876",876,500,0,0
"877",877,100,-0.75,1
"878",878,100,0,0
"879",879,150,-0.75,1
"880",880,150,0,0
"881",881,200,-0.75,1
"882",882,200,0,0
"883",883,300,-0.75,1
"884",884,300,0,0
"885",885,400,-0.75,1
"886",886,400,0,0
"887",887,500,-0.75,1
"888",888,500,0,0
"889",889,100,-0.5,1
"890",890,100,0,0
"891",891,150,-0.5,1
"892",892,150,0,0
"893",893,200,-0.5,1
"894",894,200,0,0
"895",895,300,-0.5,1
"896",896,300,0,0
"897",897,400,-0.5,1
"898",898,400,0,0
"899",899,500,-0.5,1
"900",900,500,0,0
"901",901,100,0.5,1
"902",902,100,0,0
"903",903,150,0.5,1
"904",904,150,0,0
"905",905,200,0.5,1
"906",906,200,0,0
"907",907,300,0.5,1
"908",908,300,0,0
"909",909,400,0.5,1
"910",910,400,0,0
"911",911,500,0.5,1
"912",912,500,0,0
"913",913,100,0.75,1
"914",914,100,0,0
"915",915,150,0.75,1
"916",916,150,0,0
"917",917,200,0.75,1
"918",918,200,0,0
"919",919,300,0.75,1
"920",920,300,0,0
"921",921,400,0.75,1
"922",922,400,0,0
"923",923,500,0.75,1
"924",924,500,0,0
"925",925,100,0.9,1
"926",926,100,0,0
"927",927,150,0.9,1
"928",928,150,0,0
"929",929,200,0.9,1
"930",930,200,0,0
"931",931,300,0.9,1
"932",932,300,0,0
"933",933,400,0.9,1
"934",934,400,0,0
"935",935,500,0.9,1
"936",936,500,0,0
"937",937,100,-0.9,1
"938",938,100,0,0
"939",939,150,-0.9,1
"940",940,150,0,0
"941",941,200,-0.9,1
"942",942,200,0,0
"943",943,300,-0.9,1
"944",944,300,0,0
"945",945,400,-0.9,1
"946",946,400,0,0
"947",947,500,-0.9,1
"948",948,500,0,0
"949",949,100,-0.75,1
"950",950,100,0,0
"951",951,150,-0.75,1
"952",952,150,0,0
"953",953,200,-0.75,1
"954",954,200,0,0
"955",955,300,-0.75,1
"956",956,300,0,0
"957",957,400,-0.75,1
"958",958,400,0,0
"959",959,500,-0.75,1
"960",960,500,0,0
"961",961,100,-0.5,1
"962",962,100,0,0
"963",963,150,-0.5,1
"964",964,150,0,0
"965",965,200,-0.5,1
"966",966,200,0,0
"967",967,300,-0.5,1
"968",968,300,0,0
"969",969,400,-0.5,1
"970",970,400,0,0
"971",971,500,-0.5,1
"972",972,500,0,0
"973",973,100,0.5,1
"974",974,100,0,0
"975",975,150,0.5,1
"976",976,150,0,0
"977",977,200,0.5,1
"978",978,200,0,0
"979",979,300,0.5,1
"980",980,300,0,0
"981",981,400,0.5,1
"982",982,400,0,0
"983",983,500,0.5,1
"984",984,500,0,0
"985",985,100,0.75,1
"986",986,100,0,0
"987",987,150,0.75,1
"988",988,150,0,0
"989",989,200,0.75,1
"990",990,200,0,0
"991",991,300,0.75,1
"992",992,300,0,0
"993",993,400,0.75,1
"994",994,400,0,0
"995",995,500,0.75,1
"996",996,500,0,0
"997",997,100,0.9,1
"998",998,100,0,0
"999",999,150,0.9,1
"1000",1000,150,0,0
"1001",1001,200,0.9,1
"1002",1002,200,0,0
"1003",1003,300,0.9,1
"1004",1004,300,0,0
"1005",1005,400,0.9,1
"1006",1006,400,0,0
"1007",1007,500,0.9,1
"1008",1008,500,0,0
"1009",1009,100,-0.9,1
"1010",1010,100,0,0
"1011",1011,150,-0.9,1
"1012",1012,150,0,0
"1013",1013,200,-0.9,1
"1014",1014,200,0,0
"1015",1015,300,-0.9,1
"1016",1016,300,0,0
"1017",1017,400,-0.9,1
"1018",1018,400,0,0
"1019",1019,500,-0.9,1
"1020",1020,500,0,0
"1021",1021,100,-0.75,1
"1022",1022,100,0,0
"1023",1023,150,-0.75,1
"1024",1024,150,0,0
"1025",1025,200,-0.75,1
"1026",1026,200,0,0
"1027",1027,300,-0.75,1
"1028",1028,300,0,0
"1029",1029,400,-0.75,1
"1030",1030,400,0,0
"1031",1031,500,-0.75,1
"1032",1032,500,0,0
"1033",1033,100,-0.5,1
"1034",1034,100,0,0
"1035",1035,150,-0.5,1
"1036",1036,150,0,0
"1037",1037,200,-0.5,1
"1038",1038,200,0,0
"1039",1039,300,-0.5,1
"1040",1040,300,0,0
"1041",1041,400,-0.5,1
"1042",1042,400,0,0
"1043",1043,500,-0.5,1
"1044",1044,500,0,0
"1045",1045,100,0.5,1
"1046",1046,100,0,0
"1047",1047,150,0.5,1
"1048",1048,150,0,0
"1049",1049,200,0.5,1
"1050",1050,200,0,0
"1051",1051,300,0.5,1
"1052",1052,300,0,0
"1053",1053,400,0.5,1
"1054",1054,400,0,0
"1055",1055,500,0.5,1
"1056",1056,500,0,0
"1057",1057,100,0.75,1
"1058",1058,100,0,0
"1059",1059,150,0.75,1
"1060",1060,150,0,0
"1061",1061,200,0.75,1
"1062",1062,200,0,0
"1063",1063,300,0.75,1
"1064",1064,300,0,0
"1065",1065,400,0.75,1
"1066",1066,400,0,0
"1067",1067,500,0.75,1
"1068",1068,500,0,0
"1069",1069,100,0.9,1
"1070",1070,100,0,0
"1071",1071,150,0.9,1
"1072",1072,150,0,0
"1073",1073,200,0.9,1
"1074",1074,200,0,0
"1075",1075,300,0.9,1
"1076",1076,300,0,0
"1077",1077,400,0.9,1
"1078",1078,400,0,0
"1079",1079,500,0.9,1
"1080",1080,500,0,0
"1081",1081,100,-0.9,1
"1082",1082,100,0,0
"1083",1083,150,-0.9,1
"1084",1084,150,0,0
"1085",1085,200,-0.9,1
"1086",1086,200,0,0
"1087",1087,300,-0.9,1
"1088",1088,300,0,0
"1089",1089,400,-0.9,1
"1090",1090,400,0,0
"1091",1091,500,-0.9,1
"1092",1092,500,0,0
"1093",1093,100,-0.75,1
"1094",1094,100,0,0
"1095",1095,150,-0.75,1
"1096",1096,150,0,0
"1097",1097,200,-0.75,1
"1098",1098,200,0,0
"1099",1099,300,-0.75,1
"1100",1100,300,0,0
"1101",1101,400,-0.75,1
"1102",1102,400,0,0
"1103",1103,500,-0.75,1
"1104",1104,500,0,0
"1105",1105,100,-0.5,1
"1106",1106,100,0,0
"1107",1107,150,-0.5,1
"1108",1108,150,0,0
"1109",1109,200,-0.5,1
"1110",1110,200,0,0
"1111",1111,300,-0.5,1
"1112",1112,300,0,0
"1113",1113,400,-0.5,1
"1114",1114,400,0,0
"1115",1115,500,-0.5,1
"1116",1116,500,0,0
"1117",1117,100,0.5,1
"1118",1118,100,0,0
"1119",1119,150,0.5,1
"1120",1120,150,0,0
