Question.1,Question.2,Question.3,Anchor,Question.4,Question.5,Wording,Question.6,Question.7,Question.8,Question.9,Question.10,Question.11,Question.12,Question.13,Question.14,Question.15,Question.16,Question.17,Question.18
Academy Award,neither,higher,10Percent,Worse than average,yes,Unbiased,30,10,not religious,sometimes comfortable,2,1,300,0,10,3.5,non-science,no,female
Olympic Gold,dog person,lower,10Percent,Average,yes,Unbiased,7,10,religious but not actively practicing,"rarely, if ever, comfortable",15,1,800,10,6,3.5,science,yes,female
Olympic Gold,dog person,lower,10Percent,Average,no,Unbiased,7,24,not religious,"rarely, if ever, comfortable",5,1,500,15,10,3.5,science,yes,male
Nobel Prize,dog person,higher,10Percent,Better than average,yes,Unbiased,20,40,religious and actively practicing my religion,sometimes comfortable,10,0,427,5,1,3.7,science,no,female
Nobel Prize,dog person,higher,10Percent,Better than average,yes,Unbiased,25,50,not religious,almost always comfortable,6,2,1050,4,3,3.6,non-science,no,female
Academy Award,dog person,lower,10Percent,Average,yes,Unbiased,7,40,not religious,sometimes comfortable,10,2,400,10,5,3.557,non-science,yes,female
Olympic Gold,dog person,lower,10Percent,Better than average,no,Unbiased,5,60,religious but not actively practicing,"rarely, if ever, comfortable",10,2,400,12,12,2.9,science,yes,male
Nobel Prize,cat person,higher,10Percent,Better than average,yes,Unbiased,12,50,not religious,sometimes comfortable,10,1,1328,10,4,2,science,no,male
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,20,50,not religious,almost always comfortable,7,2,1050,14,7,3.67,non-science,yes,male
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,6,35,not religious,sometimes comfortable,11,0,719,12,21,3.5,science,yes,female
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,20,20,not religious,"rarely, if ever, comfortable",6,1,700,12,5,3.44,science,no,male
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,5.6,70,religious but not actively practicing,sometimes comfortable,45,2,979,15,0,3.65,non-science,no,female
Nobel Prize,dog person,lower,10Percent,Worse than average,no,Unbiased,5,25,not religious,sometimes comfortable,9,1,500,3,0,3.46,non-science,no,female
Olympic Gold,dog person,lower,10Percent,Better than average,no,Unbiased,9,18,not religious,sometimes comfortable,8,2,500,16,7,2.7,non-science,no,male
Academy Award,cat person,lower,10Percent,Worse than average,no,Unbiased,9,80,religious but not actively practicing,sometimes comfortable,5,0,1500,5,10,3.9,non-science,no,male
Nobel Prize,dog person,lower,10Percent,Worse than average,no,Unbiased,8,80,not religious,sometimes comfortable,6,0,400,12,0,3.7,non-science,no,male
Olympic Gold,dog person,higher,10Percent,Average,no,Unbiased,13,45,religious and actively practicing my religion,almost always comfortable,5,1,440,10,3,3.1,non-science,yes,male
Nobel Prize,cat person,lower,10Percent,Average,no,Unbiased,6,13,not religious,sometimes comfortable,6,1,0,12,0,NA,science,NA,female
Nobel Prize,dog person,higher,10Percent,Better than average,yes,Unbiased,20,35,religious but not actively practicing,sometimes comfortable,38,1,890,6,2,2.875,non-science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,33,40,not religious,sometimes comfortable,25,1,1e3,5,4,3.6,science,no,female
Nobel Prize,neither,lower,40Percent,Worse than average,no,Biased,27,35,religious but not actively practicing,almost always comfortable,5,1,2e3,4,3,3.1,non-science,no,male
Academy Award,dog person,lower,40Percent,Worse than average,no,Biased,20,50,not religious,sometimes comfortable,14,2,829,6,2,3.709,non-science,no,female
Nobel Prize,dog person,lower,40Percent,Worse than average,no,Biased,25,30,not religious,almost always comfortable,5,3,539,9,4,3.45,non-science,no,male
Nobel Prize,cat person,lower,40Percent,Better than average,no,Biased,37,50,not religious,sometimes comfortable,15,4,300,4,6,3.5,non-science,no,female
Olympic Gold,cat person,lower,40Percent,Average,no,Biased,34,22,religious but not actively practicing,sometimes comfortable,25,2,990,1,15,3.3,science,no,female
Nobel Prize,dog person,higher,40Percent,Average,no,Biased,50,40,not religious,almost always comfortable,8,2,200,4,8,3.7,science,no,female
Nobel Prize,neither,lower,40Percent,Average,no,Biased,15,20,not religious,sometimes comfortable,15,1,800,3,3.5,3.91,non-science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,30,20,religious and actively practicing my religion,sometimes comfortable,15,1,1e3,5,1,3.8,science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,16,46,not religious,almost always comfortable,10,2,500,5,2,NA,science,no,male
Nobel Prize,cat person,higher,40Percent,Average,no,Biased,45,60,not religious,sometimes comfortable,10,1,139,1,0,3.963,science,no,female
Nobel Prize,dog person,lower,40Percent,Worse than average,no,Biased,23,40,not religious,sometimes comfortable,3,1,400,2,0,3.93,science,no,male
Nobel Prize,cat person,higher,40Percent,Average,no,Biased,50,50,not religious,"rarely, if ever, comfortable",7,1,1e3,8,5,3.9,science,no,female
Olympic Gold,dog person,lower,40Percent,Worse than average,yes,Biased,20,40,not religious,sometimes comfortable,15,1,660,12,0,3.4,science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,35,65,religious but not actively practicing,almost always comfortable,10,1,500,14,1,3.2,non-science,yes,female
Nobel Prize,neither,lower,40Percent,Average,no,Biased,25,15,religious but not actively practicing,almost always comfortable,12,4,229,8,2,3.9,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Worse than average,yes,Biased,30,30,not religious,almost always comfortable,8,0,1098,6,2,3.65,non-science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,35,65,not religious,sometimes comfortable,10,1,888,10,0,3.3,non-science,no,male
Nobel Prize,neither,lower,40Percent,Better than average,yes,Biased,25,75,not religious,almost always comfortable,8,3,524,14,10,3.4,non-science,yes,male
Nobel Prize,cat person,lower,40Percent,Average,no,Biased,15,54,religious and actively practicing my religion,sometimes comfortable,5,2,774,7,2,3.797,science,no,female
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,35,68,religious but not actively practicing,almost always comfortable,14,0,800,15,10,3.2,science,yes,female
Olympic Gold,neither,lower,40Percent,Average,no,Biased,25,15,religious but not actively practicing,"rarely, if ever, comfortable",14,1,750,12,4,3.5,science,yes,female
Olympic Gold,dog person,higher,40Percent,Better than average,no,Biased,50,25,not religious,"rarely, if ever, comfortable",13,1,400,10,3,4.4,science,yes,female
Nobel Prize,cat person,lower,40Percent,Average,yes,Biased,30,10,not religious,"rarely, if ever, comfortable",5,2,150,3,4,3.4,science,yes,male
Nobel Prize,dog person,lower,40Percent,Better than average,yes,Biased,27,12,religious but not actively practicing,"rarely, if ever, comfortable",5,3,839,15,4,2.96,non-science,yes,male
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,30,60,religious and actively practicing my religion,almost always comfortable,15,1,624,6,3,3.476,non-science,yes,female
Nobel Prize,neither,lower,40Percent,Average,yes,Biased,NA,20,religious and actively practicing my religion,almost always comfortable,3,4,800,0,NA,3,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,25,30,not religious,almost always comfortable,10,2,600,10,1,3,science,yes,female
Nobel Prize,dog person,lower,40Percent,Worse than average,no,Biased,32,55,religious and actively practicing my religion,"rarely, if ever, comfortable",11,3,120,4,5,2.5,non-science,no,female
Olympic Gold,dog person,lower,40Percent,Better than average,no,Biased,27,35,religious and actively practicing my religion,"rarely, if ever, comfortable",4,2,0,25,4,3.2,science,yes,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,10,35,religious but not actively practicing,almost always comfortable,7,4,719,16,5,3.52,non-science,yes,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,20,50,not religious,almost always comfortable,6,1,727,10,2,3.51,science,yes,male
Olympic Gold,dog person,lower,40Percent,Worse than average,yes,Biased,32,25,religious and actively practicing my religion,almost always comfortable,8,2,785,15,10,3.37,non-science,yes,male
Nobel Prize,cat person,lower,40Percent,Average,no,Biased,33,80,not religious,sometimes comfortable,15,0,960,6,0,3.3,science,no,female
Olympic Gold,dog person,lower,40Percent,Better than average,yes,Biased,20,50,not religious,almost always comfortable,5,1,500,15,5,3.5,non-science,yes,male
Nobel Prize,dog person,higher,40Percent,Worse than average,yes,Biased,40,65,religious but not actively practicing,almost always comfortable,18,1,1914,5,0,3.5,non-science,no,female
Nobel Prize,dog person,higher,40Percent,Better than average,no,Biased,43,70,not religious,"rarely, if ever, comfortable",6,0,222,5,3,3.7,science,no,male
Academy Award,neither,higher,10Percent,Average,no,Unbiased,15,10,religious and actively practicing my religion,sometimes comfortable,20,7,850,6,0,3,science,no,female
Academy Award,dog person,higher,10Percent,Average,no,Unbiased,20,22,religious but not actively practicing,almost always comfortable,10,1,450,6,4,3.44,non-science,no,female
Nobel Prize,cat person,higher,10Percent,Average,no,Unbiased,15,15,not religious,almost always comfortable,10,1,844,0,2,3.244,non-science,no,female
Nobel Prize,neither,higher,10Percent,Average,no,Unbiased,12,50,not religious,sometimes comfortable,7,0,950,14,6,3.9,non-science,yes,male
Nobel Prize,cat person,higher,10Percent,Average,no,Unbiased,30,15,not religious,"rarely, if ever, comfortable",6,6,702,7,0,0,non-science,no,female
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,14,45,religious but not actively practicing,sometimes comfortable,14,1,330,5,5,3.55,non-science,yes,female
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,17,30,religious and actively practicing my religion,"rarely, if ever, comfortable",8,2,2e3,15,4,3.65,science,yes,male
Nobel Prize,dog person,higher,10Percent,NA,no,Unbiased,20,65,religious but not actively practicing,almost always comfortable,30,1,347,1,1,3.3,non-science,no,female
Nobel Prize,neither,higher,10Percent,Better than average,yes,Unbiased,38,22,not religious,almost always comfortable,10,1,642,5,0,3.5,science,no,female
Nobel Prize,cat person,lower,10Percent,Worse than average,no,Unbiased,8,55,religious and actively practicing my religion,almost always comfortable,3,1,700,0,0,3.7,non-science,no,female
Nobel Prize,cat person,lower,10Percent,Worse than average,no,Unbiased,8,55,religious and actively practicing my religion,almost always comfortable,3,1,700,0,0,3.7,non-science,no,female
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,15,30,not religious,sometimes comfortable,9,1,200,6,0,3.75,science,no,female
Olympic Gold,dog person,higher,10Percent,Average,no,Unbiased,20,30,religious but not actively practicing,sometimes comfortable,4,2,800,15,0,3.3,science,yes,female
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,8,40,not religious,almost always comfortable,15,1,600,10,2,3.8,non-science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,37,55,not religious,almost always comfortable,19,0,600,3,4,3.78,science,no,female
Olympic Gold,dog person,higher,10Percent,Better than average,yes,Unbiased,37,64,not religious,almost always comfortable,8,3,900,15,2,3,science,yes,male
Nobel Prize,neither,lower,10Percent,Worse than average,yes,Unbiased,7,34,religious but not actively practicing,sometimes comfortable,4,2,400,2,10,3.3,non-science,no,male
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,12,60,religious and actively practicing my religion,sometimes comfortable,10,0,70,2,1,3.866,non-science,no,female
Olympic Gold,dog person,higher,10Percent,Average,no,Unbiased,17,40,not religious,almost always comfortable,5,1,500,160,15,3.24,non-science,no,female
Nobel Prize,cat person,higher,10Percent,Better than average,no,Unbiased,12,45,not religious,almost always comfortable,7,0,920,2,2,3.6,non-science,no,female
Olympic Gold,cat person,lower,10Percent,Better than average,no,Unbiased,9,3,religious and actively practicing my religion,"rarely, if ever, comfortable",4,4,1315,10,1,3.6,science,yes,male
Nobel Prize,dog person,higher,10Percent,Better than average,yes,Unbiased,15,30,not religious,almost always comfortable,10,3,535,0,0,3.84,non-science,no,female
Nobel Prize,dog person,higher,10Percent,Worse than average,no,Unbiased,20,25,not religious,almost always comfortable,9,2,450,3,3,3.3,non-science,no,female
Nobel Prize,cat person,lower,10Percent,Better than average,no,Unbiased,5,20,religious but not actively practicing,almost always comfortable,17,0,367,8,1,3.8,non-science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,22,30,religious but not actively practicing,almost always comfortable,6,1,300,6,7,3,science,no,male
Nobel Prize,dog person,NA,10Percent,Worse than average,no,Unbiased,50,60,religious but not actively practicing,sometimes comfortable,8,1,138,5,0,4,science,no,female
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,16,32,religious and actively practicing my religion,almost always comfortable,10,3,846,6,4,3.67,science,yes,male
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,17,67,religious and actively practicing my religion,almost always comfortable,18,1,578,NA,10,3.33,non-science,no,female
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,15,40,not religious,almost always comfortable,8,2,300,12,0,3.47,non-science,yes,female
Nobel Prize,dog person,lower,10Percent,Average,no,Unbiased,6,50,not religious,almost always comfortable,10,1,300,12,3,3.3,science,no,male
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,25,33,religious but not actively practicing,almost always comfortable,3,1,408,8,10,3.3,non-science,yes,male
Nobel Prize,neither,lower,10Percent,Better than average,no,Unbiased,8,65,religious but not actively practicing,sometimes comfortable,10,3,0,4,2,3.83,science,no,male
Nobel Prize,cat person,lower,10Percent,Worse than average,yes,Unbiased,8,20,not religious,almost always comfortable,2,0,100,4,0,3.8,non-science,no,male
Olympic Gold,dog person,higher,10Percent,Better than average,no,Unbiased,15,60,religious and actively practicing my religion,almost always comfortable,8,1,652,15,15,2.83,science,yes,male
Olympic Gold,cat person,lower,10Percent,Better than average,yes,Unbiased,3,3,not religious,almost always comfortable,6,2,700,15,10,3.22,non-science,yes,male
Olympic Gold,dog person,higher,10Percent,Worse than average,no,Unbiased,40,35,religious but not actively practicing,sometimes comfortable,15,1,1300,14,5,3,non-science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,NA,30,not religious,sometimes comfortable,9,2,900,5,2,3.2,non-science,yes,male
Nobel Prize,dog person,higher,10Percent,Better than average,yes,Unbiased,40,20,not religious,sometimes comfortable,11,1,900,6,3,3.2,non-science,no,male
Olympic Gold,dog person,higher,10Percent,Better than average,yes,Unbiased,8,5,not religious,almost always comfortable,6,1,900,5,3,3.5,science,no,male
Nobel Prize,dog person,higher,10Percent,Worse than average,no,Unbiased,11,15,not religious,sometimes comfortable,5,2,1031,8,4,3.45,science,no,male
Olympic Gold,dog person,lower,10Percent,Average,no,Unbiased,5,15,not religious,almost always comfortable,10,2,900,18,7,3.33,non-science,yes,female
Nobel Prize,neither,lower,10Percent,Worse than average,no,Unbiased,5,50,religious and actively practicing my religion,sometimes comfortable,15,4,790,2,0,3.2,non-science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,30,45,religious but not actively practicing,sometimes comfortable,11,3,1300,0,0,3.3,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Worse than average,no,Biased,25,30,not religious,almost always comfortable,6,1,345,4,0,3.45,science,no,male
Academy Award,cat person,lower,40Percent,Average,no,Biased,30,30,religious but not actively practicing,sometimes comfortable,3,1,200,10,3,3.5,non-science,no,male
Nobel Prize,dog person,higher,40Percent,Average,no,Biased,20,50,religious but not actively practicing,"rarely, if ever, comfortable",14,1,0,0,0,3.9,science,no,female
Nobel Prize,neither,lower,40Percent,Average,no,Biased,20,25,not religious,almost always comfortable,15,3,770,5,3,3,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Average,no,Biased,10,20,not religious,almost always comfortable,5,1,110,0,3,4,non-science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,8,20,religious but not actively practicing,almost always comfortable,12,1,200,2,2,4,science,no,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,20,25,not religious,sometimes comfortable,10,2,240,3,3,3.8,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Average,no,Biased,15,40,religious and actively practicing my religion,sometimes comfortable,20,1,800,10,8,3.66,non-science,no,male
Olympic Gold,dog person,higher,40Percent,Average,no,Biased,55,65,not religious,almost always comfortable,12,2,650,15,3,3.94,science,yes,female
Academy Award,dog person,lower,40Percent,Average,no,Biased,20,20,not religious,sometimes comfortable,6,0,40,2,0,3.9,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Better than average,yes,Biased,18,53,not religious,almost always comfortable,8,3,600,9,1,3.18,non-science,no,male
Nobel Prize,cat person,lower,40Percent,Better than average,no,Biased,10,20,not religious,almost always comfortable,41,2,800,16,0,3,non-science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,15,30,not religious,almost always comfortable,7,0,1500,4,3,3.58,non-science,no,female
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,10,30,religious but not actively practicing,almost always comfortable,15,2,1200,12,6,3.7,science,yes,female
Nobel Prize,cat person,lower,40Percent,Average,no,Biased,15,50,religious and actively practicing my religion,almost always comfortable,49,2,3e3,14,5,3.35,non-science,yes,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,14,55,religious but not actively practicing,sometimes comfortable,9,2,2229,6,2,3.43,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Better than average,yes,Biased,45,40,not religious,almost always comfortable,10,1,900,20,9,3.2,science,yes,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,20,80,religious and actively practicing my religion,sometimes comfortable,20,2,150,3,2,3.13,science,yes,female
Olympic Gold,dog person,lower,40Percent,Better than average,yes,Biased,26,68,religious but not actively practicing,almost always comfortable,3,0,350,8,3,3,non-science,yes,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,20,50,religious but not actively practicing,"rarely, if ever, comfortable",4,1,0,7,1,3,science,yes,male
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,35,30,not religious,sometimes comfortable,4,2,298,3,2,3.78,science,no,male
Olympic Gold,dog person,lower,40Percent,Average,no,Biased,20,15,religious but not actively practicing,"rarely, if ever, comfortable",15,1,800,10,10,3.2,science,yes,female
Nobel Prize,dog person,lower,40Percent,Worse than average,yes,Biased,30,60,not religious,sometimes comfortable,14,1,1100,4,6,3.5,science,no,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,30,40,religious but not actively practicing,almost always comfortable,15,1,878,4,20,3.79,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Average,no,Biased,15,30,not religious,almost always comfortable,4,1,418,3,0,3.78,science,no,male
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,20,70,not religious,almost always comfortable,2,4,0,10,20,3.33,science,yes,male
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,10,28,not religious,almost always comfortable,12,1,450,3,4,3.2,non-science,no,female
Nobel Prize,dog person,higher,40Percent,Better than average,no,Biased,46,30,not religious,"rarely, if ever, comfortable",20,1,1058,3,3,3,non-science,no,female
Academy Award,dog person,lower,40Percent,Average,yes,Biased,35,65,religious but not actively practicing,sometimes comfortable,14,2,600,12,2,4,science,yes,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,15,20,not religious,almost always comfortable,7,1,900,6,6,3.32,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Better than average,yes,Biased,20,8,religious but not actively practicing,almost always comfortable,9,3,600,15,5,3.7,science,yes,female
Olympic Gold,dog person,lower,40Percent,Better than average,no,Biased,10,30,not religious,sometimes comfortable,3,1,664,10,1,3,non-science,no,male
Olympic Gold,neither,higher,40Percent,Worse than average,no,Biased,43,33,not religious,"rarely, if ever, comfortable",5,1,400,8,10,3.33,science,yes,male
Nobel Prize,cat person,lower,40Percent,Worse than average,yes,Biased,30,25,not religious,almost always comfortable,7,3,373,5,7,3.6,non-science,no,female
Olympic Gold,dog person,lower,40Percent,Worse than average,no,Biased,10,33,religious and actively practicing my religion,sometimes comfortable,15,2,1600,15,2,3.3,non-science,yes,male
Nobel Prize,neither,lower,40Percent,Average,no,Biased,20,60,not religious,almost always comfortable,10,1,700,3,2,3.5,science,no,female
Nobel Prize,dog person,higher,40Percent,Average,no,Biased,60,35,religious but not actively practicing,almost always comfortable,10,2,939,7,7,3.42,science,no,female
Nobel Prize,dog person,lower,40Percent,Better than average,no,Biased,30,50,not religious,almost always comfortable,6,1,456,7,16,3,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Average,yes,Biased,30,60,religious and actively practicing my religion,almost always comfortable,7,1,731,6,2,3.8,science,no,male
Olympic Gold,neither,lower,40Percent,Better than average,no,Biased,10,60,religious and actively practicing my religion,"rarely, if ever, comfortable",20,3,500,10,7,3.6,science,yes,female
Nobel Prize,neither,lower,40Percent,Better than average,yes,Biased,28,72,not religious,almost always comfortable,8,0,1232,8,2,3.4,non-science,no,male
Nobel Prize,dog person,lower,40Percent,Worse than average,yes,Biased,35,25,religious but not actively practicing,"rarely, if ever, comfortable",5,1,890,0,0,3.1,non-science,no,female
Nobel Prize,dog person,lower,40Percent,Average,no,Biased,20,80,religious but not actively practicing,sometimes comfortable,13,1,1105,12,0,3.2,non-science,no,male
Academy Award,cat person,lower,40Percent,Average,no,Biased,25,40,not religious,sometimes comfortable,10,0,749,3,6,3.8,non-science,no,male
Academy Award,cat person,lower,40Percent,Average,no,Biased,30,25,not religious,sometimes comfortable,6,1,300,14,2,3.6,science,no,female
Academy Award,cat person,lower,40Percent,Better than average,no,Biased,20,40,not religious,sometimes comfortable,20,1,963,1,6,3.77,non-science,no,female
Academy Award,dog person,higher,10Percent,Better than average,yes,Unbiased,27,38,religious but not actively practicing,sometimes comfortable,7,0,930,15,3,3.33,non-science,yes,male
Academy Award,dog person,higher,10Percent,Worse than average,yes,Unbiased,31,14,not religious,almost always comfortable,17,1,1182,6,3,3.53,non-science,no,male
Academy Award,dog person,lower,40Percent,Average,no,Biased,18,70,not religious,almost always comfortable,35,1,962,8,6,3.16,non-science,no,female
Academy Award,neither,higher,40Percent,Worse than average,yes,Biased,45,20,not religious,sometimes comfortable,8,3,250,5,7,3.4,non-science,no,female
Academy Award,neither,lower,40Percent,Better than average,no,Biased,38,60,religious but not actively practicing,"rarely, if ever, comfortable",10,1,460,2,3,3.02,non-science,no,female
Nobel Prize,cat person,higher,10Percent,Average,no,Unbiased,14,30,not religious,almost always comfortable,12,2,604,4,1,3.6,non-science,no,female
Nobel Prize,cat person,higher,10Percent,Average,no,Unbiased,16,35,not religious,almost always comfortable,7,0,1e3,2,3,3.5,science,no,female
Nobel Prize,cat person,higher,10Percent,Better than average,no,Unbiased,20,60,religious and actively practicing my religion,almost always comfortable,22,1,598,5,0,3.025,science,no,female
Nobel Prize,cat person,higher,10Percent,Better than average,yes,Unbiased,45,10,not religious,almost always comfortable,12,2,1e3,5,3,3.4,non-science,no,male
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,14,23,religious but not actively practicing,almost always comfortable,12,2,370,2,0,3.97,science,no,female
Nobel Prize,cat person,higher,10Percent,Worse than average,no,Unbiased,25,40,religious and actively practicing my religion,sometimes comfortable,15,2,1500,15,3,3.6,science,yes,female
Nobel Prize,cat person,higher,40Percent,Worse than average,no,Biased,42,65,religious but not actively practicing,almost always comfortable,14,1,288,4,6,2.8,non-science,no,female
Nobel Prize,cat person,higher,40Percent,Worse than average,yes,Biased,66,55,religious but not actively practicing,almost always comfortable,25,1,700,4,0,3.98,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Average,yes,Biased,38,58,religious but not actively practicing,sometimes comfortable,12,1,1200,7,5,3.7,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Better than average,no,Biased,10,55,religious but not actively practicing,almost always comfortable,12,1,300,3,4,3.93,science,no,female
Nobel Prize,cat person,lower,40Percent,Better than average,no,Biased,30,50,not religious,almost always comfortable,7,1,637,21,1,3.65,science,yes,female
Nobel Prize,cat person,lower,40Percent,Better than average,no,Biased,30,60,not religious,sometimes comfortable,25,2,616,20,1,3.945,non-science,no,female
Nobel Prize,cat person,lower,40Percent,Worse than average,no,Biased,32,32,not religious,almost always comfortable,24,2,1300,12,0,3.48,science,no,female
Nobel Prize,cat person,lower,40Percent,Worse than average,yes,Biased,30,45,religious but not actively practicing,almost always comfortable,12,1,836,3,1,3.83,science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,14,9,religious but not actively practicing,"rarely, if ever, comfortable",5,3,1580,8,4,3.3,science,no,male
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,28,34,religious but not actively practicing,almost always comfortable,8,1,450,12,3,3.8,science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,30,30,religious and actively practicing my religion,"rarely, if ever, comfortable",2,1,400,1,0,3.4,non-science,no,male
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,40,20,religious but not actively practicing,"rarely, if ever, comfortable",6,22,1100,3,0,3.3,science,no,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,45,25,religious but not actively practicing,almost always comfortable,12,2,1200,15,2,3.5,non-science,yes,female
Nobel Prize,dog person,higher,10Percent,Average,no,Unbiased,50,25,not religious,sometimes comfortable,9,2,0,12,1,3.65,science,no,male
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,15,20,not religious,sometimes comfortable,7,1,100,3,2,3.364,science,no,male
Nobel Prize,dog person,higher,10Percent,Better than average,no,Unbiased,50,65,religious and actively practicing my religion,sometimes comfortable,6,3,0,6,4,3.13,science,no,male
